epoch,lr-Adam,step,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
111.0,,792999,,,,0.015267125859628975,3.350873118350105e-05,0.013882251575224842,,,,,,,
112.0,,800999,,,,0.014420908855158248,1.5296687704828492e-05,0.01311130774902612,,,,,,,
113.0,,808999,,,,0.014636966141466009,2.147520212045043e-05,0.01330828514698005,,,,,,,
114.0,,815999,,,,0.010985225951029144,2.1394236845871195e-05,0.00998851397701248,,,,,,,
115.0,,825455,0.012335852501996356,5.960519741161466e-05,0.011219830019761377,,,,,,,,,,
116.0,,825999,,,,0.013774913418221494,4.6223452153199716e-05,0.012526850694033469,,,,,,,
117.0,,832999,,,,0.01051748569698747,3.361648184853349e-05,0.009564406677429384,,,,,,,
118.0,,842999,,,,0.011947454542843551,6.010724987348972e-05,0.010866786607119,,,,,,,
119.0,,853919,,,,,,,0.08267789345920154,0.11127138171347878,0.005386239593065674,0.007659893018333086,0.5817138760510927,0.8272684459799732,0.075651379471371
120.0,,857999,,,,0.011817177169735349,5.7135503685214245e-05,0.0107480824728217,,,,,,,
121.0,,865999,,,,0.011807682844788187,5.714012053651591e-05,0.010739451688038035,,,,,,,
122.0,,872999,,,,0.01454031315291999,6.145103895952054e-05,0.013224052960741766,,,,,,,
123.0,,882383,0.012331902574740872,5.929357815031227e-05,0.011216210847778092,,,,,,,,,,
